date,home_team,away_team,home_score,away_score,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
2022-08-12,Osasuna,Sevilla,2,1,12,10,5,3,5,2,5,3,0,0
2022-08-13,Celta de Vigo,Espanyol,2,2,8,10,3,2,3,3,5,2,0,0
2022-08-13,Real Valladolid,Villarreal,0,3,12,10,6,4,4,5,1,0,0,0
2022-08-13,Barcelona,Rayo Vallecano,0,0,21,4,6,2,8,0,3,6,1,0
2022-08-14,Cadiz,Real Sociedad,0,1,7,15,2,7,3,6,4,2,0,0
2022-08-14,Valencia,Girona,1,0,17,5,2,1,4,4,2,3,1,0
2022-08-14,Almeria,Real Madrid,1,2,10,29,6,15,2,15,3,1,0,0
2022-08-15,Getafe,Atletico Madrid,0,3,10,12,0,5,3,6,2,1,0,0
2022-08-15,Athletic Bilbao,Mallorca,0,0,23,6,6,2,7,2,0,6,0,0
2022-08-15,Real Betis,Elche,3,0,17,4,8,2,8,4,3,6,0,1
2022-08-19,Sevilla,Real Valladolid,1,1,18,6,2,3,12,2,3,2,1,1
2022-08-19,Espanyol,Rayo Vallecano,0,2,13,8,1,3,9,2,2,5,1,1
2022-08-20,Osasuna,Cadiz,2,0,16,9,3,2,2,2,2,5,0,1
2022-08-20,Mallorca,Real Betis,1,2,13,8,7,3,5,2,7,8,0,0
2022-08-20,Celta de Vigo,Real Madrid,1,4,15,16,2,7,2,2,2,2,0,0
2022-08-21,Athletic Bilbao,Valencia,1,0,12,10,2,0,6,3,5,2,0,0
2022-08-21,Atletico Madrid,Villarreal,0,2,13,19,5,5,5,6,2,3,1,0
2022-08-21,Real Sociedad,Barcelona,1,4,10,15,5,7,3,6,2,1,0,0
2022-08-22,Elche,Almeria,1,1,13,12,3,7,6,5,1,4,0,1
2022-08-22,Girona,Getafe,3,1,12,7,6,3,5,2,3,6,0,1
2022-08-26,Girona,Celta de Vigo,0,1,11,11,3,6,2,4,2,1,0,0
2022-08-26,Real Betis,Osasuna,1,0,7,12,1,2,2,4,0,3,1,0
2022-08-27,Elche,Real Sociedad,0,1,12,9,5,5,4,6,3,3,0,0
2022-08-27,Rayo Vallecano,Mallorca,0,2,15,9,0,4,7,3,1,3,0,0
2022-08-27,Almeria,Sevilla,2,1,11,13,5,5,5,2,5,8,0,0
2022-08-28,Getafe,Villarreal,0,0,8,11,2,6,1,4,1,5,0,0
2022-08-28,Barcelona,Real Valladolid,4,0,24,8,9,3,14,4,0,3,0,0
2022-08-28,Espanyol,Real Madrid,1,3,15,19,4,6,7,7,0,0,1,0
2022-08-29,Cadiz,Athletic Bilbao,0,4,9,20,3,8,0,6,2,1,0,0
2022-08-29,Valencia,Atletico Madrid,0,1,12,13,2,7,6,2,4,3,0,0
2022-09-02,Celta de Vigo,Cadiz,3,0,9,7,5,0,2,2,1,2,0,0
2022-09-03,Mallorca,Girona,1,1,10,10,4,4,6,3,4,2,0,0
2022-09-03,Real Madrid,Real Betis,2,1,22,8,4,4,9,2,0,1,0,0
2022-09-03,Real Sociedad,Atletico Madrid,1,1,12,15,5,7,7,7,5,4,0,0
2022-09-03,Sevilla,Barcelona,0,3,9,18,4,7,4,4,2,4,0,0
2022-09-04,Osasuna,Rayo Vallecano,2,1,13,5,6,3,4,0,2,2,0,0
2022-09-04,Athletic Bilbao,Espanyol,0,1,17,9,2,2,4,2,3,2,0,0
2022-09-04,Villarreal,Elche,4,0,18,7,10,0,6,4,1,3,0,0
2022-09-04,Valencia,Getafe,5,1,24,7,9,4,9,1,3,6,1,1
2022-09-05,Real Valladolid,Almeria,1,0,14,12,6,1,2,8,1,6,0,0
2022-09-09,Girona,Real Valladolid,2,1,14,14,5,4,3,12,0,2,0,0
2022-09-10,Atletico Madrid,Celta de Vigo,4,1,10,14,4,3,4,7,2,3,0,0
2022-09-10,Espanyol,Sevilla,2,3,19,11,5,7,9,3,3,5,0,1
2022-09-10,Rayo Vallecano,Valencia,2,1,14,17,6,4,7,7,5,2,0,0
2022-09-10,Cadiz,Barcelona,0,4,6,16,0,8,5,6,1,2,0,0
2022-09-11,Real Betis,Villarreal,1,0,16,14,5,3,9,8,1,1,0,0
2022-09-11,Real Madrid,Mallorca,4,1,22,5,7,2,4,3,3,5,0,0
2022-09-11,Elche,Athletic Bilbao,1,4,9,16,2,8,5,5,3,0,0,0
2022-09-11,Getafe,Real Sociedad,2,1,8,13,3,6,3,7,4,1,0,0
2022-09-12,Almeria,Osasuna,0,1,7,15,2,4,5,10,0,2,0,0
2022-09-16,Real Valladolid,Cadiz,0,1,18,7,6,1,8,2,1,4,0,0
2022-09-17,Mallorca,Almeria,1,0,5,9,2,3,5,2,3,6,0,0
2022-09-17,Barcelona,Elche,3,0,25,1,9,1,6,0,2,2,0,1
2022-09-17,Valencia,Celta de Vigo,3,0,14,6,7,2,5,4,3,2,0,1
2022-09-17,Athletic Bilbao,Rayo Vallecano,3,2,14,11,7,2,2,7,1,2,0,0
2022-09-18,Osasuna,Getafe,0,2,12,10,4,4,8,1,7,3,1,1
2022-09-18,Villarreal,Sevilla,1,1,17,12,7,1,6,4,1,5,0,0
2022-09-18,Real Betis,Girona,2,1,9,8,3,3,2,4,0,3,0,0
2022-09-18,Real Sociedad,Espanyol,2,1,14,14,6,4,4,2,3,0,0,0
2022-09-18,Atletico Madrid,Real Madrid,1,2,12,6,5,3,8,1,4,2,1,0
2022-09-30,Athletic Bilbao,Almeria,4,0,17,8,4,2,11,2,1,3,0,0
2022-10-01,Sevilla,Atletico Madrid,0,2,14,20,3,6,5,7,3,2,0,0
2022-10-01,Mallorca,Barcelona,0,1,13,11,3,3,5,5,2,4,0,0
2022-10-01,Cadiz,Villarreal,0,0,10,14,2,6,6,5,2,3,1,0
2022-10-01,Getafe,Real Valladolid,2,3,14,14,6,7,4,2,2,4,0,0
2022-10-02,Espanyol,Valencia,2,2,10,12,5,5,6,4,2,1,1,1
2022-10-02,Celta de Vigo,Real Betis,1,0,11,9,4,4,5,3,4,3,0,1
2022-10-02,Girona,Real Sociedad,3,5,16,11,8,5,2,2,3,1,0,0
2022-10-02,Real Madrid,Osasuna,1,1,22,8,4,2,10,2,1,2,0,1
2022-10-03,Rayo Vallecano,Elche,2,1,15,5,6,2,13,3,1,8,0,0
2022-10-07,Osasuna,Valencia,1,2,11,15,2,7,7,5,3,6,2,1
2022-10-08,Almeria,Rayo Vallecano,3,1,10,12,4,4,7,6,4,2,1,0
2022-10-08,Atletico Madrid,Girona,2,1,13,11,7,4,8,3,3,1,0,0
2022-10-08,Sevilla,Athletic Bilbao,1,1,10,21,3,4,5,7,4,0,0,1
2022-10-08,Getafe,Real Madrid,0,1,9,19,2,4,4,4,0,0,0,0
2022-10-09,Barcelona,Celta de Vigo,1,0,13,14,5,3,6,3,2,4,0,0
2022-10-09,Real Valladolid,Real Betis,0,0,12,4,3,1,3,1,1,1,0,1
2022-10-09,Real Sociedad,Villarreal,1,0,17,5,5,1,9,3,5,3,0,0
2022-10-09,Cadiz,Espanyol,2,2,8,9,3,6,8,3,4,4,0,0
2022-10-10,Elche,Mallorca,1,1,7,11,2,4,5,7,4,5,1,1
2022-10-14,Rayo Vallecano,Getafe,0,0,16,6,3,3,4,1,2,3,0,0
2022-10-15,Athletic Bilbao,Atletico Madrid,0,1,13,3,3,1,6,1,0,6,0,0
2022-10-15,Mallorca,Sevilla,0,1,9,4,5,1,1,3,2,3,0,0
2022-10-15,Girona,Cadiz,1,1,23,9,6,2,6,2,5,4,0,0
2022-10-15,Valencia,Elche,2,2,20,8,8,6,6,1,3,6,0,0
2022-10-16,Celta de Vigo,Real Sociedad,1,2,10,8,3,6,1,6,5,7,1,0
2022-10-16,Real Madrid,Barcelona,3,1,8,18,4,5,2,3,2,2,0,0
2022-10-16,Espanyol,Real Valladolid,1,0,15,14,3,2,6,4,1,4,0,0
2022-10-16,Real Betis,Almeria,3,1,15,12,6,5,9,3,1,1,0,0
2022-10-17,Villarreal,Osasuna,2,0,12,14,9,3,8,4,2,6,0,0
2022-10-18,Sevilla,Valencia,1,1,18,13,5,5,11,6,4,7,1,0
2022-10-18,Getafe,Athletic Bilbao,2,2,11,14,4,4,7,4,7,4,0,0
2022-10-18,Atletico Madrid,Rayo Vallecano,1,1,12,14,4,4,3,4,3,0,0,0
2022-10-19,Cadiz,Real Betis,0,0,13,12,3,3,4,9,1,2,0,1
2022-10-19,Real Valladolid,Celta de Vigo,4,1,9,22,7,5,3,7,1,1,0,0
2022-10-19,Real Sociedad,Mallorca,1,0,14,12,7,3,10,7,1,2,0,0
2022-10-19,Elche,Real Madrid,0,3,10,10,3,7,8,2,1,1,0,0
2022-10-20,Almeria,Girona,3,2,13,14,7,5,4,5,1,3,0,0
2022-10-20,Osasuna,Espanyol,1,0,17,5,5,3,9,2,1,2,0,0
2022-10-20,Barcelona,Villarreal,3,0,16,5,5,1,8,0,0,1,0,0
2022-10-22,Rayo Vallecano,Cadiz,5,1,28,3,11,0,10,1,1,4,1,2
2022-10-22,Real Valladolid,Real Sociedad,1,0,9,20,2,2,4,10,2,3,0,0
2022-10-22,Valencia,Mallorca,1,2,13,10,3,5,5,3,3,5,0,0
2022-10-22,Real Madrid,Sevilla,3,1,18,9,6,2,4,3,1,4,0,0
2022-10-23,Villarreal,Almeria,2,1,11,15,5,4,10,4,4,1,1,0
2022-10-23,Barcelona,Athletic Bilbao,4,0,10,5,7,3,1,2,2,2,0,0
2022-10-23,Real Betis,Atletico Madrid,1,2,17,9,4,3,7,4,2,3,0,0
2022-10-23,Espanyol,Elche,2,2,13,9,5,4,5,3,2,3,0,0
2022-10-23,Girona,Osasuna,1,1,7,9,1,2,3,5,2,3,0,0
2022-10-24,Celta de Vigo,Getafe,1,1,17,4,5,1,10,0,1,1,0,0
2022-10-28,Mallorca,Espanyol,1,1,12,7,5,2,4,4,4,1,0,0
2022-10-29,Almeria,Celta de Vigo,3,1,19,8,5,3,6,4,4,0,0,1
2022-10-29,Cadiz,Atletico Madrid,3,2,10,15,7,7,5,3,2,4,0,0
2022-10-29,Sevilla,Rayo Vallecano,0,1,10,15,4,5,6,6,6,1,0,0
2022-10-29,Valencia,Barcelona,0,1,3,13,2,2,3,10,4,5,0,0
2022-10-30,Real Sociedad,Real Betis,0,2,14,10,7,4,5,3,4,4,0,0
2022-10-30,Real Madrid,Girona,1,1,19,8,6,2,7,1,3,3,1,0
2022-10-30,Osasuna,Real Valladolid,2,0,20,7,10,2,1,8,1,3,0,0
2022-10-30,Athletic Bilbao,Villarreal,1,0,19,6,7,3,6,2,2,1,0,0
2022-10-31,Elche,Getafe,0,1,12,8,5,3,6,2,0,3,0,1
2022-11-04,Girona,Athletic Bilbao,2,1,19,11,10,7,7,1,1,1,0,0
2022-11-05,Real Valladolid,Elche,2,1,16,4,11,2,8,4,2,0,0,0
2022-11-05,Celta de Vigo,Osasuna,1,2,13,8,5,4,2,3,1,5,0,0
2022-11-05,Barcelona,Almeria,2,0,27,4,13,1,9,1,2,1,0,0
2022-11-05,Getafe,Cadiz,0,0,13,15,2,4,5,5,5,2,2,1
2022-11-06,Real Betis,Sevilla,1,1,9,22,4,6,1,4,4,5,2,1
2022-11-06,Real Sociedad,Valencia,1,1,9,14,4,3,1,11,2,0,1,0
2022-11-06,Atletico Madrid,Espanyol,1,1,27,6,7,2,12,2,3,5,0,1
2022-11-06,Villarreal,Mallorca,0,2,9,7,2,5,5,2,4,6,0,0
2022-11-07,Rayo Vallecano,Real Madrid,3,2,15,16,7,2,4,5,4,5,0,0
2022-11-08,Athletic Bilbao,Real Valladolid,3,0,19,8,6,0,10,2,3,1,0,0
2022-11-08,Osasuna,Barcelona,1,2,15,9,3,3,2,5,4,4,0,2
2022-11-08,Elche,Girona,1,2,11,21,2,3,2,5,3,2,0,0
2022-11-09,Almeria,Getafe,1,0,8,11,3,3,7,6,8,4,1,0
2022-11-09,Sevilla,Real Sociedad,1,2,6,17,3,9,2,1,2,2,2,0
2022-11-09,Espanyol,Villarreal,0,1,14,10,6,3,4,7,1,3,0,0
2022-11-09,Mallorca,Atletico Madrid,1,0,9,17,3,5,2,5,5,3,0,0
2022-11-10,Rayo Vallecano,Celta de Vigo,0,0,10,11,3,3,5,3,7,1,0,0
2022-11-10,Valencia,Real Betis,3,0,15,5,7,1,5,5,1,3,0,1
2022-11-10,Real Madrid,Cadiz,2,1,18,10,5,5,7,1,3,3,0,0
2022-12-29,Girona,Rayo Vallecano,2,2,16,12,7,4,2,4,3,2,0,0
2022-12-29,Real Betis,Athletic Bilbao,0,0,9,10,5,0,2,6,1,4,1,0
2022-12-29,Atletico Madrid,Elche,2,0,18,5,4,1,3,5,3,4,1,2
2022-12-30,Getafe,Mallorca,2,0,14,3,6,0,4,2,0,1,0,0
2022-12-30,Cadiz,Almeria,1,1,12,18,6,9,3,2,2,0,0,0
2022-12-30,Celta de Vigo,Sevilla,1,1,17,7,5,5,5,6,2,4,0,1
2022-12-30,Real Valladolid,Real Madrid,0,2,14,19,4,8,5,9,2,0,1,0
2022-12-31,Barcelona,Espanyol,1,1,21,4,6,1,10,2,6,7,1,1
2022-12-31,Real Sociedad,Osasuna,2,0,9,11,2,3,3,2,1,1,0,0
2022-12-31,Villarreal,Valencia,2,1,14,13,8,4,5,2,1,3,0,0
2023-01-06,Elche,Celta de Vigo,0,1,13,14,5,7,8,4,3,1,1,0
2023-01-06,Valencia,Cadiz,0,1,11,6,2,2,13,2,5,6,0,0
2023-01-07,Mallorca,Real Valladolid,1,0,13,9,4,1,6,2,2,3,0,0
2023-01-07,Espanyol,Girona,2,2,12,12,6,5,5,2,3,2,0,0
2023-01-07,Villarreal,Real Madrid,2,1,17,13,5,3,6,5,4,1,0,0
2023-01-08,Sevilla,Getafe,2,1,11,11,5,2,4,4,3,3,0,0
2023-01-08,Almeria,Real Sociedad,0,2,6,9,1,6,4,2,1,0,0,0
2023-01-08,Rayo Vallecano,Real Betis,1,2,15,14,3,3,5,7,3,2,0,0
2023-01-08,Atletico Madrid,Barcelona,0,1,20,10,5,2,7,4,2,3,1,1
2023-01-09,Athletic Bilbao,Osasuna,0,0,17,3,3,1,14,1,0,1,0,0
2023-01-13,Celta de Vigo,Villarreal,1,1,21,3,8,1,14,3,0,2,0,0
2023-01-14,Real Valladolid,Rayo Vallecano,0,1,9,13,2,6,4,8,2,2,0,0
2023-01-14,Girona,Sevilla,2,1,19,10,7,2,5,2,3,1,0,0
2023-01-14,Osasuna,Mallorca,1,0,15,6,4,2,3,1,2,3,0,0
2023-01-14,Real Sociedad,Athletic Bilbao,3,1,11,6,5,2,4,2,5,1,0,1
2023-01-15,Almeria,Atletico Madrid,1,1,14,12,3,6,3,4,4,4,0,1
2023-01-15,Getafe,Espanyol,1,2,10,10,2,4,5,1,2,3,0,0
2023-01-16,Cadiz,Elche,1,1,16,12,3,5,3,6,3,2,0,0
2023-01-20,Mallorca,Celta de Vigo,1,0,8,10,3,3,4,6,2,3,0,0
2023-01-21,Rayo Vallecano,Real Sociedad,0,2,14,12,2,7,3,4,0,0,0,0
2023-01-21,Espanyol,Real Betis,1,0,8,13,2,4,7,4,3,2,0,0
2023-01-21,Atletico Madrid,Real Valladolid,3,0,18,7,8,1,4,1,1,1,0,0
2023-01-21,Sevilla,Cadiz,1,0,17,4,9,1,8,1,1,4,0,1
2023-01-22,Athletic Bilbao,Real Madrid,0,2,18,10,3,4,12,2,3,2,0,0
2023-01-22,Elche,Osasuna,1,1,13,8,4,4,7,2,2,1,0,0
2023-01-22,Villarreal,Girona,1,0,19,8,9,1,3,2,5,5,0,1
2023-01-22,Barcelona,Getafe,1,0,8,7,4,3,4,2,1,2,0,0
2023-01-23,Valencia,Almeria,2,2,16,14,6,3,6,2,2,1,0,0
2023-01-27,Almeria,Espanyol,3,1,19,6,7,3,2,2,3,3,0,0
2023-01-28,Cadiz,Mallorca,2,0,11,9,4,2,6,2,2,2,0,0
2023-01-28,Girona,Barcelona,0,1,8,8,2,3,4,2,2,3,1,0
2023-01-28,Sevilla,Elche,3,0,22,6,8,1,5,2,1,3,0,1
2023-01-28,Getafe,Real Betis,0,1,6,13,1,2,6,1,4,2,0,0
2023-01-29,Real Valladolid,Valencia,1,0,13,15,6,2,4,7,3,1,0,0
2023-01-29,Osasuna,Atletico Madrid,0,1,14,13,4,5,5,4,1,0,0,0
2023-01-29,Celta de Vigo,Athletic Bilbao,1,0,9,5,3,0,2,5,3,2,0,0
2023-01-29,Real Madrid,Real Sociedad,0,0,20,8,7,3,10,3,1,4,0,0
2023-01-30,Villarreal,Rayo Vallecano,0,1,12,11,3,3,5,4,2,3,0,0
2023-02-01,Real Betis,Barcelona,1,2,5,13,1,3,1,6,3,0,1,0
2023-02-02,Real Madrid,Valencia,2,0,19,4,7,0,6,6,3,1,0,1
2023-02-03,Athletic Bilbao,Cadiz,4,1,17,15,9,3,0,3,2,1,1,0
2023-02-04,Elche,Villarreal,3,1,18,14,7,2,6,10,4,2,0,0
2023-02-04,Espanyol,Osasuna,1,1,9,9,4,3,4,3,3,5,1,1
2023-02-04,Atletico Madrid,Getafe,1,1,12,9,4,1,8,0,3,5,0,0
2023-02-04,Real Betis,Celta de Vigo,3,4,15,9,7,7,5,5,2,3,1,0
2023-02-05,Girona,Valencia,1,0,20,8,8,4,8,4,1,4,0,0
2023-02-05,Real Sociedad,Real Valladolid,0,1,15,7,4,2,0,4,4,5,0,0
2023-02-05,Barcelona,Sevilla,3,0,16,3,7,1,8,3,0,2,0,0
2023-02-05,Mallorca,Real Madrid,1,0,4,20,1,1,1,12,5,5,0,0
2023-02-06,Rayo Vallecano,Almeria,2,0,15,14,11,5,3,7,3,3,0,0
2023-02-10,Cadiz,Girona,2,0,12,7,3,1,5,6,4,4,0,0
2023-02-11,Almeria,Real Betis,2,3,16,12,9,7,8,2,2,3,0,0
2023-02-11,Sevilla,Mallorca,2,0,15,6,6,0,8,2,5,2,0,0
2023-02-11,Valencia,Athletic Bilbao,1,2,18,11,8,3,7,1,2,2,0,0
2023-02-12,Getafe,Rayo Vallecano,1,1,13,19,4,4,5,6,4,4,1,0
2023-02-12,Celta de Vigo,Atletico Madrid,0,1,14,10,3,2,7,5,2,2,0,1
2023-02-12,Real Valladolid,Osasuna,0,0,18,15,5,4,10,4,1,3,0,0
2023-02-12,Villarreal,Barcelona,0,1,11,7,2,4,6,2,4,4,0,0
2023-02-13,Espanyol,Real Sociedad,2,3,10,11,6,5,4,3,4,1,1,0
2023-02-15,Real Madrid,Elche,4,0,26,7,13,0,6,4,1,3,0,0
2023-02-17,Girona,Almeria,6,2,14,16,8,4,1,7,1,1,0,0
2023-02-18,Real Sociedad,Celta de Vigo,1,1,9,18,3,4,3,7,3,5,0,1
2023-02-18,Real Betis,Real Valladolid,2,1,16,17,10,3,4,6,3,5,0,0
2023-02-18,Mallorca,Villarreal,4,2,13,8,5,4,4,4,5,0,0,1
2023-02-18,Osasuna,Real Madrid,0,2,11,11,4,6,5,5,3,2,0,0
2023-02-19,Elche,Espanyol,0,1,19,11,5,4,10,5,2,3,1,0
2023-02-19,Rayo Vallecano,Sevilla,1,1,18,7,5,2,7,3,4,1,0,0
2023-02-19,Atletico Madrid,Athletic Bilbao,1,0,17,8,5,2,6,5,2,3,0,0
2023-02-19,Barcelona,Cadiz,2,0,16,14,5,4,5,6,2,3,0,0
2023-02-20,Getafe,Valencia,1,0,15,8,6,3,4,5,6,1,0,0
2023-02-24,Elche,Real Betis,2,3,4,21,2,9,3,3,4,1,2,0
2023-02-25,Valencia,Real Sociedad,1,0,8,11,3,3,7,8,6,3,0,0
2023-02-25,Real Madrid,Atletico Madrid,1,1,18,7,7,2,7,4,3,3,0,1
2023-02-25,Espanyol,Mallorca,2,1,9,15,3,4,0,4,2,2,0,0
2023-02-25,Cadiz,Rayo Vallecano,1,0,5,11,3,2,4,6,3,4,0,1
2023-02-26,Almeria,Barcelona,1,0,7,14,4,1,4,7,3,3,0,0
2023-02-26,Sevilla,Osasuna,2,3,22,11,8,4,10,2,4,2,1,0
2023-02-26,Celta de Vigo,Real Valladolid,3,0,18,6,4,3,5,4,1,3,0,1
2023-02-26,Athletic Bilbao,Girona,2,3,17,8,3,4,11,3,5,5,0,0
2023-02-27,Villarreal,Getafe,2,1,11,8,5,3,6,6,0,1,0,0
2023-03-03,Real Sociedad,Cadiz,0,0,15,6,3,2,4,0,0,1,0,0
2023-03-04,Getafe,Girona,3,2,10,9,6,7,3,3,5,4,0,0
2023-03-04,Almeria,Villarreal,0,2,6,16,0,6,2,10,2,4,0,0
2023-03-04,Mallorca,Elche,0,1,14,15,3,6,6,7,3,3,0,0
2023-03-04,Atletico Madrid,Sevilla,6,1,18,8,8,1,7,3,1,4,0,1
2023-03-05,Real Valladolid,Espanyol,2,1,15,12,5,2,9,6,3,2,0,0
2023-03-05,Barcelona,Valencia,1,0,13,13,4,1,5,2,0,0,1,0
2023-03-05,Rayo Vallecano,Athletic Bilbao,0,0,18,16,2,3,7,9,1,0,0,1
2023-03-05,Real Betis,Real Madrid,0,0,8,15,4,5,5,3,3,4,0,0
2023-03-06,Osasuna,Celta de Vigo,0,0,10,6,5,0,6,4,0,2,0,0
2023-03-10,Cadiz,Getafe,2,2,11,16,4,10,2,6,4,5,1,1
2023-03-11,Valencia,Osasuna,1,0,8,7,4,0,12,3,2,5,0,0
2023-03-11,Real Madrid,Espanyol,3,1,22,10,7,3,7,4,3,2,0,0
2023-03-11,Elche,Real Valladolid,1,1,24,5,10,1,10,3,4,6,0,2
2023-03-11,Celta de Vigo,Rayo Vallecano,3,0,15,12,6,3,3,7,2,3,0,0
2023-03-12,Villarreal,Real Betis,1,1,15,6,4,3,2,4,3,2,0,0
2023-03-12,Athletic Bilbao,Barcelona,0,1,15,10,5,2,5,3,2,1,0,0
2023-03-12,Mallorca,Real Sociedad,1,1,8,8,2,2,3,2,2,2,0,1
2023-03-12,Sevilla,Almeria,2,1,27,13,5,5,6,4,4,4,0,0
2023-03-13,Girona,Atletico Madrid,0,1,6,14,4,4,1,3,2,3,0,0
2023-03-17,Real Valladolid,Athletic Bilbao,1,3,15,15,3,6,2,9,2,2,0,0
2023-03-18,Almeria,Cadiz,1,1,17,10,5,4,5,2,1,4,0,0
2023-03-18,Rayo Vallecano,Girona,2,2,15,12,3,4,3,5,2,2,0,0
2023-03-18,Atletico Madrid,Valencia,3,0,14,9,6,1,4,2,2,0,0,0
2023-03-18,Espanyol,Celta de Vigo,1,3,11,8,3,4,4,1,2,2,0,0
2023-03-19,Real Betis,Mallorca,1,0,10,5,3,1,4,4,1,2,0,0
2023-03-19,Osasuna,Villarreal,0,3,10,12,2,6,7,1,3,2,0,0
2023-03-19,Real Sociedad,Elche,2,0,17,4,4,3,5,3,2,1,0,0
2023-03-19,Getafe,Sevilla,2,0,15,11,4,4,4,1,4,2,0,0
2023-03-19,Barcelona,Real Madrid,2,1,17,11,7,3,8,1,4,3,0,0
2023-03-31,Mallorca,Osasuna,0,0,10,11,1,2,2,3,7,3,1,0
2023-04-01,Elche,Barcelona,0,4,15,12,2,6,11,3,0,3,0,0
2023-04-01,Athletic Bilbao,Getafe,0,0,17,9,3,1,13,3,0,0,0,0
2023-04-01,Cadiz,Sevilla,0,2,14,11,3,5,8,4,3,4,0,0
2023-04-01,Girona,Espanyol,2,1,14,5,4,1,5,2,4,2,0,1
2023-04-02,Villarreal,Real Sociedad,2,0,16,16,4,3,4,4,5,3,1,0
2023-04-02,Atletico Madrid,Real Betis,1,0,13,6,7,2,5,1,1,2,0,0
2023-04-02,Real Madrid,Real Valladolid,6,0,30,12,17,2,9,1,0,1,0,0
2023-04-02,Celta de Vigo,Almeria,2,2,21,8,5,3,4,1,3,5,0,0
2023-04-03,Valencia,Rayo Vallecano,1,1,18,7,4,2,13,3,2,3,0,0
2023-04-07,Sevilla,Celta de Vigo,2,2,7,9,2,4,8,3,6,2,2,0
2023-04-08,Osasuna,Elche,2,1,22,7,6,1,9,2,1,3,0,0
2023-04-08,Espanyol,Athletic Bilbao,1,2,9,12,2,7,8,7,6,4,1,0
