date,home_team,away_team,home_score,away_score,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
2023-12-19,Granada,Sevilla,0,3,12,12,3,5,6,4,2,1,0,0
2023-12-19,Atletico Madrid,Getafe,3,3,8,29,4,9,1,12,3,3,1,0
2023-12-20,Athletic Bilbao,Las Palmas,1,0,19,5,10,1,5,2,1,3,0,0
2023-12-20,Villarreal,Celta de Vigo,3,2,12,15,8,5,4,7,2,4,0,0
2023-12-20,Barcelona,Almeria,3,2,30,10,11,5,12,0,3,3,0,0
2023-12-21,Real Betis,Girona,1,1,21,12,4,4,7,6,2,2,0,0
2023-12-21,Cadiz,Real Sociedad,0,0,10,8,2,1,7,5,3,1,0,0
2023-12-21,Alaves,Real Madrid,0,1,8,9,2,4,3,3,3,1,0,1
2023-12-21,Mallorca,Osasuna,3,2,15,12,8,7,6,0,3,1,0,0
2023-12-23,Atletico Madrid,Sevilla,1,0,12,8,4,2,6,5,7,3,1,0
2024-01-02,Getafe,Rayo Vallecano,0,2,5,12,0,8,2,3,6,3,2,0
2024-01-02,Real Sociedad,Alaves,1,1,16,7,6,2,6,4,4,4,1,0
2024-01-02,Valencia,Villarreal,3,1,11,8,8,4,4,3,2,5,0,0
2024-01-03,Celta de Vigo,Real Betis,2,1,19,14,6,3,8,7,0,2,0,0
2024-01-03,Granada,Cadiz,2,0,15,15,8,2,5,6,3,4,0,1
2024-01-03,Real Madrid,Mallorca,1,0,17,7,5,0,5,4,2,3,0,0
2024-01-03,Girona,Atletico Madrid,4,3,17,18,9,12,7,8,0,1,0,0
2024-01-04,Osasuna,Almeria,1,0,14,4,2,0,5,4,1,2,0,0
2024-01-04,Sevilla,Athletic Bilbao,0,2,11,15,2,6,5,4,3,1,0,0
2024-01-04,Las Palmas,Barcelona,1,2,12,15,3,5,5,10,5,2,1,0
2024-01-12,Sevilla,Alaves,2,3,19,16,4,8,5,4,4,3,0,0
2024-01-13,Las Palmas,Villarreal,3,0,8,17,3,3,4,6,4,3,0,0
2024-01-13,Mallorca,Celta de Vigo,1,1,17,6,6,2,10,1,4,1,0,0
2024-01-13,Athletic Bilbao,Real Sociedad,2,1,10,9,3,1,5,5,1,4,0,0
2024-01-13,Real Betis,Granada,1,0,25,6,6,2,13,1,3,4,0,0
2024-01-14,Almeria,Girona,0,0,20,5,3,1,4,3,4,4,0,1
2024-01-14,Cadiz,Valencia,1,4,10,9,2,5,3,1,4,2,0,0
2024-01-19,Alaves,Cadiz,1,0,13,9,3,1,4,4,0,4,0,0
2024-01-20,Celta de Vigo,Real Sociedad,0,1,6,6,2,2,6,3,1,2,0,0
2024-01-20,Valencia,Athletic Bilbao,1,0,6,6,1,3,4,2,0,3,0,0
2024-01-20,Villarreal,Mallorca,1,1,18,8,5,2,4,6,2,2,1,0
2024-01-20,Rayo Vallecano,Las Palmas,0,2,16,10,3,5,12,0,3,1,1,0
2024-01-21,Osasuna,Getafe,3,2,13,10,7,7,1,4,4,4,0,0
2024-01-21,Real Madrid,Almeria,3,2,18,10,6,2,6,3,3,5,0,0
2024-01-21,Real Betis,Barcelona,2,4,14,11,5,4,3,4,1,2,0,0
2024-01-21,Girona,Sevilla,5,1,12,9,8,3,4,5,0,2,0,0
2024-01-22,Granada,Atletico Madrid,0,1,17,10,2,5,6,2,2,2,1,0
2024-01-26,Almeria,Alaves,0,3,19,11,7,3,11,3,1,2,0,0
2024-01-27,Real Sociedad,Rayo Vallecano,0,0,6,5,3,0,2,2,2,4,0,0
2024-01-27,Las Palmas,Real Madrid,1,2,7,13,2,5,1,6,3,3,0,0
2024-01-27,Barcelona,Villarreal,3,5,22,9,10,6,10,0,3,4,0,0
2024-01-27,Mallorca,Real Betis,0,1,14,8,1,2,5,4,2,1,0,0
2024-01-28,Atletico Madrid,Valencia,2,0,12,10,8,3,3,6,2,0,0,0
2024-01-28,Sevilla,Osasuna,1,1,10,11,5,4,2,4,3,0,1,0
2024-01-28,Celta de Vigo,Girona,0,1,10,15,5,6,5,7,1,1,0,0
2024-01-28,Cadiz,Athletic Bilbao,0,0,9,8,2,0,6,8,4,2,0,0
2024-01-29,Getafe,Granada,2,0,7,16,4,3,4,3,2,1,0,0
2024-01-31,Barcelona,Osasuna,1,0,16,9,4,1,6,6,1,2,0,1
2024-01-31,Atletico Madrid,Rayo Vallecano,2,1,8,10,3,2,5,6,0,3,0,0
2024-02-01,Getafe,Real Madrid,0,2,10,16,2,9,2,6,1,2,0,0
2024-02-02,Athletic Bilbao,Mallorca,4,0,13,6,6,2,6,2,0,1,0,0
2024-02-03,Girona,Real Sociedad,0,0,11,11,3,2,3,4,2,3,0,0
2024-02-03,Valencia,Almeria,2,1,7,15,2,5,0,6,4,5,0,0
2024-02-03,Granada,Las Palmas,1,1,3,16,1,6,2,9,4,3,1,1
2024-02-03,Alaves,Barcelona,1,3,13,8,2,5,14,5,2,2,0,1
2024-02-04,Real Madrid,Atletico Madrid,1,1,17,10,4,5,2,8,0,5,0,0
2024-02-04,Real Betis,Getafe,1,1,9,11,3,2,3,5,7,4,0,0
2024-02-04,Osasuna,Celta de Vigo,0,3,18,6,1,5,9,1,2,0,0,0
2024-02-04,Villarreal,Cadiz,0,0,19,8,4,2,13,2,3,1,0,0
2024-02-05,Rayo Vallecano,Sevilla,1,2,22,10,5,6,6,0,2,2,0,0
2024-02-09,Cadiz,Real Betis,0,2,14,13,5,5,5,3,1,1,0,0
2024-02-10,Real Madrid,Girona,4,0,16,5,6,0,0,2,1,2,0,0
2024-02-10,Alaves,Villarreal,1,1,17,12,4,4,10,9,0,2,0,0
2024-02-10,Real Sociedad,Osasuna,0,1,21,9,3,2,7,4,0,0,0,0
2024-02-10,Las Palmas,Valencia,2,0,8,7,3,1,5,0,2,0,0,0
2024-02-11,Mallorca,Rayo Vallecano,2,1,8,11,5,4,5,1,4,0,0,0
2024-02-11,Sevilla,Atletico Madrid,1,0,10,16,6,5,2,7,2,1,0,0
2024-02-11,Getafe,Celta de Vigo,3,2,11,9,4,4,0,4,1,2,0,0
2024-02-11,Barcelona,Granada,3,3,11,11,6,5,6,2,1,2,0,0
2024-02-12,Almeria,Athletic Bilbao,0,0,10,12,4,4,4,10,4,1,1,0
2024-02-16,Villarreal,Getafe,1,1,20,11,7,2,8,3,0,1,0,0
2024-02-17,Atletico Madrid,Las Palmas,5,0,13,11,7,2,3,5,2,2,0,0
2024-02-17,Osasuna,Cadiz,2,0,11,5,4,1,5,4,4,2,0,0
2024-02-17,Celta de Vigo,Barcelona,1,2,13,14,4,4,2,5,2,4,0,0
2024-02-17,Valencia,Sevilla,0,0,14,1,4,1,7,2,0,1,0,0
2024-02-18,Rayo Vallecano,Real Madrid,1,1,8,11,3,4,4,10,4,3,0,1
2024-02-18,Granada,Almeria,1,1,19,13,7,3,10,4,2,3,0,0
2024-02-18,Mallorca,Real Sociedad,1,2,4,19,1,5,3,9,7,5,1,0
2024-02-18,Real Betis,Alaves,0,0,13,13,2,4,6,8,5,2,0,0
2024-02-19,Athletic Bilbao,Girona,3,2,14,12,7,6,3,4,1,2,0,0
2024-02-23,Real Sociedad,Villarreal,1,3,21,6,8,4,13,2,3,4,0,0
2024-02-24,Alaves,Mallorca,1,1,9,15,1,8,3,3,0,2,0,0
2024-02-24,Barcelona,Getafe,4,0,17,10,9,4,5,8,1,4,0,0
2024-02-24,Almeria,Atletico Madrid,2,2,9,18,4,9,2,7,1,1,0,0
2024-02-25,Real Madrid,Sevilla,1,0,16,4,6,1,7,2,1,3,0,0
2024-02-25,Las Palmas,Osasuna,1,1,9,6,3,2,6,7,2,1,0,0
2024-02-25,Real Betis,Athletic Bilbao,3,1,13,3,5,1,5,3,1,6,0,1
2024-02-25,Cadiz,Celta de Vigo,2,2,19,7,6,3,9,1,2,3,0,0
2024-02-26,Girona,Rayo Vallecano,3,0,14,7,8,1,2,2,3,5,0,1
2024-03-01,Celta de Vigo,Almeria,1,0,15,3,6,0,7,0,1,2,0,1
2024-03-02,Valencia,Real Madrid,2,2,12,10,5,5,2,2,2,3,0,1
2024-03-02,Sevilla,Real Sociedad,3,2,12,13,5,4,2,5,1,2,0,0
2024-03-02,Rayo Vallecano,Cadiz,1,1,9,16,5,5,4,9,1,1,0,0
2024-03-02,Getafe,Las Palmas,3,3,16,14,5,5,4,4,4,1,0,0
2024-03-03,Mallorca,Girona,1,0,16,15,2,4,8,5,5,0,0,0
2024-03-03,Atletico Madrid,Real Betis,2,1,17,12,12,6,4,6,1,2,0,0
2024-03-03,Athletic Bilbao,Barcelona,0,0,8,8,2,2,4,4,3,3,0,0
2024-03-03,Villarreal,Granada,5,1,16,9,10,3,6,4,1,2,0,0
2024-03-04,Osasuna,Alaves,1,0,15,10,4,4,5,5,2,1,0,0
2024-03-08,Barcelona,Mallorca,1,0,20,9,6,3,4,1,1,1,0,0
2024-03-09,Granada,Real Sociedad,2,3,13,11,6,8,4,6,1,2,0,0
2024-03-09,Cadiz,Atletico Madrid,2,0,7,8,3,4,3,1,4,5,0,0
2024-03-09,Girona,Osasuna,2,0,11,7,6,1,5,7,3,3,0,0
2024-03-09,Valencia,Getafe,1,0,10,15,3,5,5,5,2,3,0,0
2024-03-10,Alaves,Rayo Vallecano,1,0,12,9,4,3,7,5,2,2,0,0
2024-03-10,Las Palmas,Athletic Bilbao,0,2,14,7,2,2,10,3,3,3,0,0
2024-03-10,Real Betis,Villarreal,2,3,13,6,4,4,11,4,3,4,1,1
2024-03-10,Real Madrid,Celta de Vigo,4,0,24,11,13,1,12,1,2,3,0,0
2024-03-11,Almeria,Sevilla,2,2,14,19,4,6,1,8,2,2,0,0
2024-03-15,Real Sociedad,Cadiz,2,0,14,13,6,2,8,2,3,1,0,0
2024-03-16,Mallorca,Granada,1,0,18,8,8,3,10,2,2,0,0,0
2024-03-16,Osasuna,Real Madrid,2,4,9,17,4,9,5,7,3,2,0,0
2024-03-16,Getafe,Girona,1,0,11,13,3,3,2,5,4,4,0,0
2024-03-16,Athletic Bilbao,Alaves,2,0,16,7,4,3,5,4,1,3,0,0
2024-03-17,Rayo Vallecano,Real Betis,2,0,8,11,4,1,4,8,4,4,0,0
2024-03-17,Atletico Madrid,Barcelona,0,3,12,9,3,5,7,3,3,1,1,0
2024-03-17,Sevilla,Celta de Vigo,1,2,11,18,4,5,3,8,4,0,0,0
2024-03-17,Las Palmas,Almeria,0,1,21,3,6,2,11,3,2,2,0,0
2024-03-17,Villarreal,Valencia,1,0,13,14,7,7,6,2,5,1,0,0
2024-03-29,Cadiz,Granada,1,0,13,10,5,2,5,2,2,4,0,0
2024-03-30,Getafe,Sevilla,0,1,18,10,5,3,7,3,4,5,0,0
2024-03-30,Almeria,Osasuna,0,3,12,6,5,4,6,1,3,2,0,0
2024-03-30,Valencia,Mallorca,0,0,14,11,5,3,3,3,0,2,0,0
2024-03-30,Barcelona,Las Palmas,1,0,14,8,2,0,6,1,5,1,0,1
2024-03-31,Celta de Vigo,Rayo Vallecano,0,0,13,8,0,2,3,2,3,3,0,0
2024-03-31,Girona,Real Betis,3,2,9,7,5,4,5,4,3,4,0,0
2024-03-31,Alaves,Real Sociedad,0,1,3,12,0,3,3,8,2,2,0,0
2024-03-31,Real Madrid,Athletic Bilbao,2,0,9,7,4,3,4,7,2,1,0,0
2024-04-01,Villarreal,Atletico Madrid,1,2,11,14,2,8,3,3,3,3,0,0
2024-04-04,Granada,Valencia,0,1,13,6,3,2,5,4,3,1,0,0
2024-04-12,Real Betis,Celta de Vigo,2,1,15,12,3,5,6,5,1,0,0,0
2024-04-13,Rayo Vallecano,Getafe,0,0,11,7,2,0,3,0,4,6,0,0
2024-04-13,Atletico Madrid,Girona,3,1,17,12,4,5,2,0,3,2,0,0
2024-04-13,Mallorca,Real Madrid,0,1,6,16,2,9,4,2,2,1,0,0
2024-04-13,Cadiz,Barcelona,0,1,14,12,3,2,8,4,3,3,0,0
2024-04-14,Athletic Bilbao,Villarreal,1,1,13,10,6,2,3,1,3,3,0,1
2024-04-14,Real Sociedad,Almeria,2,2,17,7,4,3,5,1,2,2,1,0
2024-04-14,Las Palmas,Sevilla,0,2,5,10,2,3,6,2,3,3,1,0
2024-04-14,Granada,Alaves,2,0,9,8,3,3,1,5,3,2,0,0
2024-04-15,Osasuna,Valencia,0,1,13,4,2,3,4,1,0,2,0,0
2024-04-19,Athletic Bilbao,Granada,1,1,17,5,6,0,11,4,4,2,0,0
2024-04-20,Rayo Vallecano,Osasuna,2,1,17,6,6,2,5,1,4,1,0,0
2024-04-20,Valencia,Real Betis,1,2,8,12,5,6,7,6,2,3,0,0
2024-04-20,Girona,Cadiz,4,1,10,12,5,5,2,4,1,2,0,0
2024-04-20,Celta de Vigo,Las Palmas,4,1,21,9,13,4,8,4,1,0,0,0
2024-04-21,Getafe,Real Sociedad,1,1,6,7,4,3,0,4,0,2,0,0
2024-04-21,Almeria,Villarreal,1,2,24,11,5,3,5,2,3,4,1,0
2024-04-21,Alaves,Atletico Madrid,2,0,8,15,3,4,1,11,5,3,0,0
2024-04-21,Real Madrid,Barcelona,3,2,14,14,8,6,2,8,3,2,0,0
2024-04-22,Sevilla,Mallorca,2,1,11,8,4,6,4,4,0,2,0,0
2024-04-26,Real Sociedad,Real Madrid,0,1,9,5,3,3,11,3,3,4,0,0
2024-04-27,Las Palmas,Girona,0,2,10,6,5,3,4,2,1,3,0,0
2024-04-27,Atletico Madrid,Athletic Bilbao,3,1,8,7,3,1,3,5,3,2,0,0
2024-04-27,Alaves,Celta de Vigo,3,0,16,4,8,0,8,3,3,3,0,0
2024-04-27,Almeria,Getafe,1,3,21,8,11,5,9,2,5,4,1,0
2024-04-28,Real Betis,Sevilla,1,1,15,10,5,1,4,6,3,5,0,0
2024-04-28,Villarreal,Rayo Vallecano,3,0,15,20,7,4,3,6,2,1,0,0
2024-04-28,Granada,Osasuna,3,0,12,11,4,2,0,6,4,0,0,0
2024-04-28,Cadiz,Mallorca,1,1,10,9,2,2,3,1,3,2,0,0
2024-04-29,Barcelona,Valencia,4,2,27,5,13,3,15,1,1,0,0,1
2024-05-03,Getafe,Athletic Bilbao,0,2,34,7,9,2,10,6,0,2,0,2
2024-05-04,Girona,Barcelona,4,2,9,16,7,7,5,4,0,3,0,0
2024-05-04,Real Madrid,Cadiz,3,0,19,7,9,2,7,4,0,1,0,0
2024-05-04,Mallorca,Atletico Madrid,0,1,7,9,4,4,6,2,2,0,0,0
2024-05-04,Real Sociedad,Las Palmas,2,0,9,7,4,1,7,2,2,1,0,0
2024-05-05,Osasuna,Real Betis,0,2,12,10,2,4,8,5,2,2,1,0
2024-05-05,Rayo Vallecano,Almeria,0,1,27,7,10,2,9,2,3,2,0,0
2024-05-05,Sevilla,Granada,3,0,11,8,5,3,5,4,2,2,0,0
2024-05-05,Celta de Vigo,Villarreal,3,2,23,11,7,3,2,1,4,0,0,1
2024-05-05,Valencia,Alaves,0,1,13,14,1,4,5,7,1,3,0,0
2024-05-10,Alaves,Girona,2,2,14,15,8,5,5,3,3,2,0,0
2024-05-11,Mallorca,Las Palmas,1,0,7,7,2,1,2,2,6,2,0,0
2024-05-11,Villarreal,Sevilla,3,2,25,8,7,4,10,1,3,5,0,0
2024-05-11,Granada,Real Madrid,0,4,12,13,1,7,8,5,2,0,0,0
2024-05-11,Athletic Bilbao,Osasuna,2,2,15,13,6,3,8,6,2,4,0,0
2024-05-12,Cadiz,Getafe,1,0,13,10,6,4,6,2,5,2,0,0
2024-05-12,Atletico Madrid,Celta de Vigo,1,0,21,6,8,2,4,7,1,1,0,0
2024-05-12,Valencia,Rayo Vallecano,0,0,13,12,5,1,6,3,1,2,0,0
2024-05-12,Real Betis,Almeria,3,2,14,14,7,7,3,5,0,2,0,0
2024-05-13,Barcelona,Real Sociedad,2,0,14,10,5,3,6,2,2,3,0,0
2024-05-14,Osasuna,Mallorca,1,1,10,10,4,4,2,4,0,1,0,0
2024-05-14,Real Madrid,Alaves,5,0,22,18,11,10,4,1,1,1,0,0
2024-05-14,Girona,Villarreal,0,1,22,11,5,3,5,1,1,5,0,1
2024-05-15,Getafe,Atletico Madrid,0,3,8,7,3,3,6,3,4,3,0,0
2024-05-15,Sevilla,Cadiz,0,1,14,19,3,7,1,9,6,2,0,0
2024-05-15,Rayo Vallecano,Granada,2,1,18,10,9,1,6,6,4,3,1,0
2024-05-15,Celta de Vigo,Athletic Bilbao,2,1,10,7,4,2,2,3,2,0,0,0
2024-05-16,Real Sociedad,Valencia,1,0,10,7,5,3,3,3,0,2,0,0
2024-05-16,Las Palmas,Real Betis,2,2,16,6,9,4,4,8,2,1,0,0
2024-05-16,Almeria,Barcelona,0,2,12,16,3,7,4,7,0,1,0,0
2024-05-18,Alaves,Getafe,1,0,9,10,2,4,2,1,5,7,0,1
2024-05-19,Villarreal,Real Madrid,4,4,21,12,7,6,3,3,3,2,0,0
2024-05-19,Valencia,Girona,1,3,20,18,6,5,5,4,2,0,0,0
2024-05-19,Granada,Celta de Vigo,1,2,11,8,3,5,10,2,2,1,0,0
2024-05-19,Cadiz,Las Palmas,0,0,10,9,3,1,5,3,3,1,1,0
2024-05-19,Real Betis,Real Sociedad,0,2,18,5,9,2,6,2,3,4,0,0
2024-05-19,Barcelona,Rayo Vallecano,3,0,14,15,6,4,7,5,4,2,0,0
2024-05-19,Atletico Madrid,Osasuna,1,4,15,15,2,6,7,5,2,2,0,0
2024-05-19,Athletic Bilbao,Sevilla,2,0,15,9,6,4,8,3,1,1,0,0
2024-05-19,Mallorca,Almeria,2,2,29,7,8,3,12,2,2,3,0,0
2024-05-24,Girona,Granada,7,0,16,10,9,2,4,2,3,5,0,1
2024-05-25,Real Madrid,Real Betis,0,0,13,11,5,3,4,5,2,1,0,0
2024-05-25,Rayo Vallecano,Athletic Bilbao,0,1,17,7,4,1,8,2,1,1,0,0
2024-05-25,Almeria,Cadiz,6,1,27,12,12,4,1,4,2,2,0,0
2024-05-25,Real Sociedad,Atletico Madrid,0,2,14,10,4,4,8,4,3,5,0,1
2024-05-25,Osasuna,Villarreal,1,1,12,11,6,3,6,4,4,3,0,0
2024-05-26,Las Palmas,Alaves,1,1,10,14,4,4,2,6,2,1,0,0
2024-05-26,Celta de Vigo,Valencia,2,2,9,12,4,1,2,2,0,0,0,0
2024-05-26,Getafe,Mallorca,1,2,16,9,6,4,3,4,0,2,0,0
2024-05-26,Sevilla,Barcelona,1,2,15,11,6,6,6,5,2,1,0,0
2024-08-15,Real Betis,Girona,1,1,19,13,4,2,4,4,2,0,0,0
2024-08-15,Athletic Bilbao,Getafe,1,1,7,9,4,2,5,6,4,1,0,0
2024-08-16,Celta de Vigo,Alaves,2,1,6,10,4,2,3,3,3,2,0,0
2024-08-16,Las Palmas,Sevilla,2,2,13,16,5,5,6,3,0,0,0,0
2024-08-17,Osasuna,Leganes,1,1,16,10,5,4,6,4,3,2,0,0
2024-08-17,Valencia,Barcelona,1,2,6,18,1,8,3,8,2,3,0,0
2024-08-18,Real Sociedad,Rayo Vallecano,1,2,11,12,5,5,10,5,2,4,0,0
2024-08-18,Mallorca,Real Madrid,1,1,12,13,5,4,8,7,1,0,0,1
2024-08-19,Real Valladolid,Espanyol,1,0,12,10,3,2,3,2,2,2,0,0
2024-08-19,Villarreal,Atletico Madrid,2,2,8,10,3,5,2,3,1,3,0,0
2024-08-23,Sevilla,Villarreal,1,2,15,6,9,5,7,2,3,5,0,0
2024-08-23,Celta de Vigo,Valencia,3,1,7,13,5,5,4,7,3,0,0,0
2024-08-24,Getafe,Rayo Vallecano,0,0,12,3,0,1,3,2,1,2,0,0
2024-08-24,Espanyol,Real Sociedad,0,1,13,8,3,4,7,4,2,2,0,0
2024-08-24,Osasuna,Mallorca,1,0,15,11,5,2,5,4,2,1,0,0
2024-08-24,Barcelona,Athletic Bilbao,2,1,13,9,5,2,5,6,4,5,0,0
2024-08-25,Real Madrid,Real Valladolid,3,0,17,8,9,2,5,5,1,1,0,0
2024-08-25,Leganes,Las Palmas,2,1,10,10,5,5,3,7,1,1,0,0
2024-08-25,Alaves,Real Betis,0,0,3,13,1,3,3,8,1,4,1,0
2024-08-25,Atletico Madrid,Girona,3,0,11,13,6,5,1,9,1,3,0,0
2024-08-26,Villarreal,Celta de Vigo,4,3,22,18,9,8,7,4,4,3,0,0
2024-08-27,Mallorca,Sevilla,0,0,12,16,4,7,5,9,0,1,0,1
2024-08-27,Rayo Vallecano,Barcelona,1,2,8,22,4,5,6,6,3,1,0,0
2024-08-28,Real Sociedad,Alaves,1,2,8,12,1,5,8,6,4,4,1,0
2024-08-28,Atletico Madrid,Espanyol,0,0,24,8,7,1,9,3,0,2,0,0
2024-08-28,Athletic Bilbao,Valencia,1,0,13,2,4,0,5,3,1,3,0,0
2024-08-28,Real Valladolid,Leganes,0,0,12,8,2,1,4,4,1,5,0,0
2024-08-29,Girona,Osasuna,4,0,10,1,5,0,5,0,0,0,0,0
2024-08-29,Las Palmas,Real Madrid,1,1,7,25,3,8,2,6,0,2,0,0
2024-08-31,Barcelona,Real Valladolid,7,0,23,5,10,2,10,1,0,3,0,0
2024-08-31,Athletic Bilbao,Atletico Madrid,0,1,8,9,1,2,2,2,3,1,0,0
2024-08-31,Espanyol,Rayo Vallecano,2,1,10,17,5,5,3,7,3,2,0,0
2024-08-31,Leganes,Mallorca,0,1,4,12,2,3,1,3,1,3,0,0
2024-08-31,Valencia,Villarreal,1,1,22,9,6,3,14,3,3,5,0,1
2024-09-01,Real Madrid,Real Betis,2,0,20,12,8,2,7,3,2,0,0,0
2024-09-01,Sevilla,Girona,0,2,16,11,5,4,7,5,3,2,0,0
2024-09-01,Getafe,Real Sociedad,0,0,16,1,1,0,4,1,1,1,0,0
2024-09-01,Alaves,Las Palmas,2,0,15,12,5,7,6,5,3,0,0,0
2024-09-01,Osasuna,Celta de Vigo,3,2,10,12,4,3,6,3,2,0,0,1
2024-09-13,Real Betis,Leganes,2,0,14,3,5,0,11,1,1,2,0,0
2024-09-14,Mallorca,Villarreal,1,2,10,21,5,4,7,6,3,3,1,0
2024-09-14,Espanyol,Alaves,3,2,9,19,4,6,0,5,2,3,0,0
2024-09-14,Sevilla,Getafe,1,0,10,15,4,4,3,4,3,4,1,0
2024-09-14,Real Sociedad,Real Madrid,0,2,11,16,2,7,6,6,4,1,0,0
2024-09-15,Celta de Vigo,Real Valladolid,3,1,14,6,7,1,5,3,3,5,0,1
2024-09-15,Girona,Barcelona,1,4,9,20,4,9,1,6,3,2,0,1
2024-09-15,Las Palmas,Athletic Bilbao,2,3,15,9,6,4,9,3,1,2,0,1
2024-09-15,Atletico Madrid,Valencia,3,0,14,5,5,1,7,3,1,2,0,0
2024-09-16,Rayo Vallecano,Osasuna,3,1,17,5,6,2,7,4,3,2,0,0
2024-09-17,Mallorca,Real Sociedad,1,0,10,13,4,4,5,5,1,1,0,0
2024-09-18,Real Betis,Getafe,2,1,18,15,8,5,8,4,3,5,0,0
2024-09-19,Leganes,Athletic Bilbao,0,2,14,10,3,4,4,7,3,0,0,0
2024-09-20,Alaves,Sevilla,2,1,10,8,4,2,3,5,1,4,0,0
2024-09-21,Real Valladolid,Real Sociedad,0,0,15,14,2,4,5,7,4,4,0,0
2024-09-21,Osasuna,Las Palmas,2,1,13,11,2,4,2,4,2,5,0,0
2024-09-21,Valencia,Girona,2,0,7,8,2,3,5,4,3,2,0,0
2024-09-21,Real Madrid,Espanyol,4,1,31,10,14,2,9,4,4,3,0,0
2024-09-22,Getafe,Leganes,1,1,12,6,3,3,6,2,3,2,0,0
2024-09-22,Athletic Bilbao,Celta de Vigo,3,1,10,11,7,4,3,6,3,2,0,0
2024-09-22,Villarreal,Barcelona,1,5,13,17,4,10,7,3,6,1,0,0
2024-09-22,Rayo Vallecano,Atletico Madrid,1,1,15,10,3,5,3,4,0,0,0,0
2024-09-23,Real Betis,Mallorca,1,2,14,6,6,6,6,3,3,2,0,0
2024-09-24,Sevilla,Real Valladolid,2,1,22,8,5,2,6,4,5,4,1,0
2024-09-24,Valencia,Osasuna,0,0,10,9,2,2,10,5,2,3,0,0
2024-09-24,Real Madrid,Alaves,3,2,10,12,4,3,4,4,4,0,0,0
2024-09-25,Girona,Rayo Vallecano,0,0,11,2,0,0,4,3,3,4,0,0
2024-09-25,Barcelona,Getafe,1,0,16,7,4,1,7,5,1,1,0,0
